,kepid,teff,mass,radius,kepmag,dist,nkoi,ra,dec,st_quarters,jmag,hmag,kmag,rrmscdpp06p0,Crowdingseason0,isMdwarf,isGiant,cosi,noise_level,Nplanets,planetRadius,planetPeriod,starID,T0,ars,ecc,omega,rprs,impact,duration,duration_correction,transit_depth,transit_depth_diluted,has_transits
5825,11290011,5244.05954279,0.875,1.21640808584,15.628,1332.0839999999998,0,288.05069,49.044909999999994,11111110111011101,14.232000000000001,13.767999999999999,13.588,167.43,0.915,False,False,0.0024249249699779263,479.2001450336,1,0.950113021785051,681.6825515071613,8333,498.4180964596456,256.3978754745424,0.00882743997336612,-3.1163290650501647,0.007150794881830693,0.6215585192838983,0.670665249372919,4.011977814613393,51.13386744201603,46.78748870944467,True
6216,11284475,5582.53754824,0.982,0.954682090239,14.552999999999999,799.034,0,284.33942,49.064819,11111110111011101,13.356,13.024000000000001,12.948,98.166,0.9670000000000001,False,False,0.010296752606439252,255.38147356732114,1,1.7717832209582516,69.48133538353538,8883,24.103847005571296,74.07870974707288,0.05797976529505931,0.8573297534294575,0.016990656422403428,0.7936445765330244,0.18987067036272684,2.134688756869592,288.68240566415886,279.1558862772416,True
6257,11244028,5652.20924554,0.957,1.07115462809,15.658,1496.634,0,291.78643999999997,48.921082,11111111111111111,14.472000000000001,14.107000000000001,14.015999999999998,162.755,0.9570000000000001,False,False,0.0019432572638409251,486.7051366565132,3,2.458121445343525,391.0534387803837,8933,276.8475765811602,207.11527728653513,0.009461859701686134,-1.0278356751852549,0.021009200018346132,0.3991817253982896,0.5647870525779258,3.6816965195233324,441.38648541087514,422.40686653820757,True
6258,11244028,5652.20924554,0.957,1.07115462809,15.658,1496.634,0,291.78643999999997,48.921082,11111111111111111,14.472000000000001,14.107000000000001,14.015999999999998,162.755,0.9570000000000001,False,False,0.0019432572638409251,486.7051366565132,3,2.198210444100089,90.25121430222265,8933,15.859651546754913,77.92738406543903,0.0771265620066568,-2.3259868428294954,0.01878777917584222,0.14202783039957095,0.3719186924636828,2.9876493467487757,352.9806463602105,337.8024785667215,True
6259,11244028,5652.20924554,0.957,1.07115462809,15.658,1496.634,0,291.78643999999997,48.921082,11111111111111111,14.472000000000001,14.107000000000001,14.015999999999998,162.755,0.9570000000000001,False,False,0.0019432572638409251,486.7051366565132,3,1.0562258608189798,115.9651910439848,8933,37.68506607863162,92.10286934635602,0.031749881869584655,-0.4366727734654985,0.009027406036643006,0.17639583317225857,0.39817777289764417,3.091321165706252,81.49405975041859,77.98981518115059,True
6331,11189117,5934.75688746,1.025,1.0246907683700002,14.277000000000001,871.684,0,291.15231,48.868561,11111111111111111,13.207,12.932,12.921,82.897,0.9740000000000001,False,False,0.0003181967887261328,217.13793314181098,1,2.2848733589458625,177.53785377290015,9041,96.72319653628234,130.85149621642375,0.0781252800434832,2.729357453096646,0.02041397877959236,0.04268568228040385,0.44031440930959675,3.250776187840424,416.73052961364715,405.89553584369236,True
6406,11289385,5571.41878167,1.054,0.920902739278,15.507,1169.878,0,287.6513700000001,49.087608,11111110111011101,14.238,13.876,13.855,155.5,0.9159999999999999,False,False,0.006675097527709006,440.8612459724054,2,2.1572278461714856,146.42253947054002,9155,122.60117275329756,129.24328252910183,0.06332264073732212,2.911178776057919,0.021445718520919765,0.8717284888139972,0.1919959939031879,2.146602863520989,459.918842878521,421.2856600767252,True
6407,11289385,5571.41878167,1.054,0.920902739278,15.507,1169.878,0,287.6513700000001,49.087608,11111110111011101,14.238,13.876,13.855,155.5,0.9159999999999999,False,False,0.006675097527709006,440.8612459724054,2,1.4095366838479448,173.58600466662259,9155,13.765218303383744,144.77019569560997,0.021425121622546808,-1.169103596180242,0.01401267233795513,0.9468553567805539,0.13850538233521234,1.8232194536163484,196.35498605089288,179.86116722261787,True
6742,11306883,5961.59549822,1.083,1.39216621188,15.585999999999999,2112.776,0,296.2836,49.099109999999996,11111111111111111,14.375,14.052,14.113,180.47299999999998,0.9359999999999999,False,False,0.01675549544030286,467.4785037878713,1,1.82379397515132,68.89724793735817,9600,40.13203486603178,52.19023237455766,0.05875631129926241,-2.78387891055928,0.01199341982302724,0.8534641011019778,0.2285488724903241,2.3420446066989795,143.84211905138275,134.63622343209425,True
6909,11394070,5305.52088852,0.976,0.837923971888,15.529000000000002,959.54,0,286.8796700000001,49.294258,11111110111011101,14.209000000000001,13.792,13.703,172.321,0.935,False,False,0.006900041443271165,448.2736468830423,1,2.1084203408142486,124.58701595334368,9844,5.2327773106690625,124.31687877119674,0.11660076057990813,1.3829421504602069,0.023036204796315934,0.9443888470959345,0.12548593289972163,1.7354141838746504,530.6667314178093,496.1733938756517,True
6963,11352574,4633.40401953,0.769,0.6661522121469999,15.585,572.347,0,292.99237,49.165051,11111111111111111,13.902000000000001,13.331,13.28,191.328,0.935,False,False,0.00583884008567126,467.1415764737523,2,1.31748547666503,122.83542379828975,9914,74.4127728370141,143.07177842913268,0.004468112366999176,-0.9488170717488269,0.018106341642241244,0.8323230209371618,0.16023892224329023,1.9610543423982327,327.83960766555936,306.53003316729803,True
7126,11462825,4856.81436922,0.868,0.739069638951,15.883,879.747,0,295.51279,49.351151,11111111111111,14.447000000000001,13.99,13.918,217.114,0.833,False,False,0.0012100170233693142,567.9777366282169,1,1.4795412410396418,213.32001692601423,10156,61.19884845994321,193.98964010592536,0.019556840805317267,-2.1137689075834216,0.018327366391269067,0.23071063182397034,0.34717680528590655,2.886562545115168,335.89235883981894,279.7983349135692,True
7233,11599899,4911.93779854,0.8740000000000001,0.729377136496,15.812999999999999,800.22,0,285.43134,49.65255,11111110111011101,14.363,13.849,13.73,263.295,0.8859999999999999,False,False,0.007562307535306845,540.512587938286,1,2.3638775013444318,111.59062113612748,10349,37.282977847835454,127.91055394003527,0.02964033956241395,-1.0713665623537496,0.029670930773584726,0.9412800611419395,0.11591142583457921,1.6678951465934246,880.3641329708571,780.0026218121793,True
7240,11615945,5534.3326706,0.8809999999999999,1.23230066111,14.252,902.048,0,294.46826,49.643761,11111111111111111,13.082,12.692,12.652000000000001,79.393,0.968,False,False,0.013002608139615845,214.29223843313255,2,1.6433289846284478,69.54232213568186,10357,5.51220229367909,55.38315145630036,0.055695647079503356,-2.950245883148342,0.012208608928864717,0.7102638216624096,0.2882773696278921,2.63033398470031,149.0501319779553,144.2805277546607,True
7254,11501916,5875.70738455,1.047,0.9742059282150001,15.450999999999999,1297.77,0,288.95428,49.409659999999995,11111111111111111,14.317,13.953,13.931,185.628,0.934,False,False,0.004028995458995932,426.37062803673865,1,2.399448798531509,50.8044120925205,10373,45.14744386498691,60.19152274039522,0.027859299574846716,1.7393382463778266,0.022548573268082208,0.2489836132288885,0.26647193711791395,2.5288982760937486,508.4381564260716,474.8812381019509,True
7513,11567136,5991.8693189,1.051,1.43018717456,14.49,1253.511,0,295.6712,49.58252,11111111111111111,13.282,13.011,12.972000000000001,87.618,0.946,False,False,0.008035677596896607,246.4301807257816,1,0.6133580913894436,82.83445592385615,10784,8.13781046388769,56.87022676926185,0.06353878113310871,-0.735957916631528,0.0039262646362340035,0.43565363261599505,0.4193771675172176,3.1725466143798773,15.41555399374173,14.583114078079676,True
7520,11606412,5422.266272999998,0.974,0.857322194562,15.116,844.1389999999999,0,289.4577,49.669270000000004,11111111111111111,13.770999999999999,13.434000000000001,13.353,182.571,0.963,False,False,0.0008851760161159294,348.8813139625608,1,2.460005146256545,120.27805981327587,10798,100.74061845595584,118.60494023411995,0.0017340250855355554,-0.2318945005527131,0.026269408697023957,0.10494409404435966,0.32954755022864163,2.8123195418528457,690.0818332912779,664.5488054595006,True
7975,11758191,5460.63505469,0.977,0.978065874615,15.29,1069.33,0,289.02737,49.947497999999996,11111111111111111,14.029000000000002,13.619000000000002,13.538,149.74,0.9359999999999999,False,False,0.0013478977558867289,387.3354860110536,2,0.6772495344409117,167.00571208555624,11445,104.86991041985459,129.52508411868365,0.12956337140756136,-1.4318621102678863,0.006339265737338156,0.14925378193801014,0.4084573991781211,3.130970708945535,40.18629008858947,37.61436752291974,True
7976,11758191,5460.63505469,0.977,0.978065874615,15.29,1069.33,0,289.02737,49.947497999999996,11111111111111111,14.029000000000002,13.619000000000002,13.538,149.74,0.9359999999999999,False,False,0.0013478977558867289,387.3354860110536,2,1.915976170894357,289.55604103534944,11445,271.4305307186484,186.93390830129994,0.023910240476984635,-2.7087559032069217,0.017934131329796654,0.24929673697639543,0.4866152439403176,3.417420936110684,321.6330665543939,301.0485502949127,True
8012,11665550,5517.0738770000025,0.916,0.989404867321,14.181,647.754,0,293.84024,49.752209,11111111111111111,12.93,12.522,12.427,99.8,0.966,False,False,0.008849331582660436,206.50180777049218,2,2.2165646114352247,86.43763541039168,11483,22.29048472118154,80.78473133387209,0.08198579125616792,-0.1910718589233884,0.020509954709072385,0.6989547394962733,0.25326272126611094,2.4654219335413283,420.6582421682005,406.35586193448165,True
8096,11770137,4834.56678686,0.956,0.79039793266,12.448,189.821,0,295.28769,49.932678,11111111111111111,10.931,10.489,10.409,40.361,0.9790000000000001,False,False,0.007440116618003922,94.23049869061371,1,1.8933803493952137,86.30984398342716,11584,57.722016920791006,102.47469645751137,0.024804899876925204,1.258354527760316,0.021930595188145035,0.7799508279864735,0.17703595405719566,2.0612770064629102,480.95100530629014,470.8510341948581,True
8179,11753718,5805.89147834,1.053,1.28644901119,14.798,1287.4589999999998,0,286.13486,49.94614,11111110111011101,13.673,13.335999999999999,13.283,125.10799999999999,0.9520000000000001,False,False,0.005078551847157775,288.88804375885235,1,2.207272334341283,88.79752003211563,11707,49.765799899797514,66.26543021175564,0.08318407768789743,0.6880560287061437,0.015708028880368832,0.35198106215101316,0.4064179969085697,3.123144557302091,246.74217130650132,234.89854708378928,True
8417,11802657,4573.8924493,0.623,0.690369869214,15.189,476.524,0,285.06458,50.079929,11111110111011101,13.485999999999999,12.936,12.798,224.21599999999998,0.943,False,False,0.0034522416285627244,363.13269023504773,2,1.555708398756286,51.26500433594449,12059,34.17684991329259,71.87277893100287,0.08723142939093811,-2.2698652796786285,0.02063026071347694,0.22966689705364096,0.22579168313968773,2.327874651984618,425.6076571060301,401.34802065098637,True
8489,11751202,5140.09590717,0.939,0.7864549580079999,14.073,427.089,0,284.36615,49.908297999999995,11111110111011101,12.66,12.199000000000002,12.136,82.134,0.948,False,False,0.007797087534580194,195.85850539422765,1,2.3714747149245134,91.89844269304528,12171,4.410979469173582,106.74716793476269,0.028066052938664213,0.8198127478793262,0.02760596877680702,0.848737868464095,0.15875956896944446,1.9519809566864803,762.089512106044,722.4608574765297,True
8525,11709054,5809.30859204,1.09,1.29935563252,14.366,1112.485,0,289.75142999999997,49.855419,11111111111111111,13.312000000000001,13.025,12.94,96.87299999999999,0.9470000000000001,False,False,0.010460609014362299,228.80120304697084,1,1.613035280413847,48.183367077685645,12227,41.18825084149886,44.15180679743099,0.07776262415032237,1.122871293253353,0.01136512408350334,0.491433879457787,0.30709658139777174,2.714832951315149,129.16604543342763,122.32024502545597,True
8783,11909366,5554.39255123,0.855,0.834678359806,14.363,625.561,0,288.97308,50.240520000000004,11111111111111111,13.175,12.795,12.73,88.29,0.966,False,False,0.0017682698135824682,228.39005619364463,1,1.1002391740335864,77.06912430124525,12610,23.723904745990136,86.69474062025807,0.07675307359546542,0.25953457816046566,0.01206774983434173,0.15541617355956108,0.28299298809446705,2.6061142941680835,145.63058606425486,140.6791461380702,True
8844,11953339,5585.5234972,0.87,0.8774477054050001,14.969000000000001,871.7710000000001,0,285.4455,50.318829,11111110111011101,13.795,13.427999999999999,13.341,166.648,0.95,False,False,0.0135654100533249,321.60009745741615,2,2.3787244335298126,58.134964631786566,12700,9.124502132342696,68.73527919710955,0.025101571264923607,2.5270208956114866,0.024818826301350697,0.9453304169335782,0.10654956182413562,1.5991214724902092,615.9741389766172,585.1754320277863,True
9132,11971676,5737.08215441,1.038,0.9727223186409999,15.585,1344.84,0,295.81857,50.3036,1111111111111111,14.367,13.992,14.009,193.373,0.889,False,False,0.0077410884027471205,467.1415764737523,2,0.7034340954774907,108.71960809878475,13132,74.66348125138119,99.82019342218537,0.020660622222590314,2.3279944143939995,0.0066205319037952485,0.7839897413031327,0.2189014597049485,2.2920809394344617,43.831442689170736,38.96615255067278,True
9133,11971676,5737.08215441,1.038,0.9727223186409999,15.585,1344.84,0,295.81857,50.3036,1111111111111111,14.367,13.992,14.009,193.373,0.889,False,False,0.0077410884027471205,467.1415764737523,2,2.392576270379382,48.378737831283544,13132,15.95226018213298,58.18122272628147,0.14925481089015372,0.15580692761129056,0.022518282284224332,0.45078411188229267,0.242938231701365,2.4146464670491126,507.07303703201137,450.7879299214581,True
9164,11905451,5707.21948804,0.935,0.917556942166,14.785,892.6469999999999,0,286.53394,50.294189,11111110111011101,13.687000000000001,13.378,13.258,120.794,0.9520000000000001,False,False,0.0009082399266977514,287.1533763602569,2,2.320444872530081,48.07239780452701,13171,12.061971312978878,59.31587653497303,0.028325784015618454,-1.1741851195399204,0.023152429927525506,0.052422280923186765,0.2636126040384055,2.5152937198112135,536.0350115489787,510.30533099462775,True
9165,11905451,5707.21948804,0.935,0.917556942166,14.785,892.6469999999999,0,286.53394,50.294189,11111110111011101,13.687000000000001,13.378,13.258,120.794,0.9520000000000001,False,False,0.0009082399266977514,287.1533763602569,2,2.258841870402917,249.38005526277857,13171,204.0133991768792,177.75216831581614,0.1066692671775016,3.1397195318512905,0.022537780897523233,0.1596369366682711,0.45104589387802946,3.2901521929954405,507.9515677847632,483.5698925310946,True
